,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,Kruisfontein,-34.0,24.73,55.69,84,72,3.2,ZA,04/17/20
342,East London,-33.02,27.91,66.22,84,12,11.32,ZA,04/17/20
343,Sinnamary,5.38,-52.95,79.27,84,94,12.19,GF,04/17/20
344,Boueni,-12.9,45.08,78.8,83,0,3.36,YT,04/17/20
345,Zopilotepe,14.6,-86.27,74.59,49,38,3.24,HN,04/17/20
346,Mpika,-11.83,31.45,61.05,61,93,9.15,ZM,04/17/20
347,Sittwe,20.15,92.9,85.6,60,8,3.09,MM,04/17/20
348,Bulgan,48.81,103.53,48.24,28,19,11.95,MN,04/17/20
349,Shingū,33.73,135.98,62.6,67,75,14.99,JP,04/17/20
350,Porto Velho,-8.76,-63.9,77.0,94,20,2.21,BR,04/17/20
351,Pouébo,-20.4,164.57,81.01,66,100,5.35,NC,04/17/20
352,San Rafael,-34.62,-68.33,68.27,38,91,10.89,AR,04/17/20
353,Luba,3.46,8.55,82.2,77,92,5.44,GQ,04/17/20
354,Norman Wells,65.28,-126.83,39.2,60,90,2.24,CA,04/17/20
355,Saint Anthony,45.02,-93.22,44.6,30,1,5.82,US,04/17/20
356,Eagle Pass,28.71,-100.5,71.6,94,90,9.22,US,04/17/20
357,Tashtyp,52.79,89.9,42.44,54,41,9.86,RU,04/17/20
358,Mbigou,-1.9,11.91,67.51,82,100,1.45,GA,04/17/20
